Sample001 0
Sample002 1
Sample003 2
Sample004 3
Sample005 4
Sample006 5
Sample007 6
Sample008 7
Sample009 8
Sample010 9
Sample011 A
Sample012 B
Sample013 C
Sample014 D
Sample015 E
Sample016 F
Sample017 G
Sample018 H
Sample019 I
Sample020 J
Sample021 K
Sample022 L
Sample023 M
Sample024 N
Sample025 O
Sample026 P
Sample027 Q
Sample028 R
Sample029 S
Sample030 T
Sample031 U
Sample032 V
Sample033 W
Sample034 X
Sample035 Y
Sample036 Z
Sample037 a
Sample038 b
Sample039 c
Sample040 d
Sample041 e
Sample042 f
Sample043 g
Sample044 h
Sample045 i
Sample046 j
Sample047 k
Sample048 l
Sample049 m
Sample050 n
Sample051 o
Sample052 p
Sample053 q
Sample054 r
Sample055 s
Sample056 t
Sample057 u
Sample058 v
Sample059 w
Sample060 x
Sample061 y
Sample062 z
